,id,en_orig,zh_trans,en_bt,Clinical Risk,Accuracy,COMETSrcMetric
105,107,"No, her mom's pregnancy was perfectly normal. She  was delivered vaginally at 39 weeks. She was breech at that time, which the doctor said might have to do with her clicking hips. But yeah, but since then or during pregnancy, no other complications.",不，她妈妈的怀孕完全正常。她在39周内阴道分娩。当时她是臀位，医生说这可能与她的臀部碰撞有关。但是，是的，但是从那时起或怀孕期间，没有其他并发症。,"No, her mother's pregnancy is completely normal. She gave birth to vagina within 39 weeks. At the time, she was the hip position, and the doctor said that it might be related to her hips. However, yes, but there are no other complications from then on or during pregnancy.",clinically nonsignificant/no harm,Yes,0.054346643
106,108,I would describe it as a sharp pain.,我将其描述为剧烈的痛苦。,I describe it as a severe pain.,clinically nonsignificant/no harm,Yes,0.114532329
107,109,"Yeah, I do have a bit of pain down in my buttock area. But, it's gotten more painful over these last couple of days.",是的，我的臀部区域确实有些疼痛。但是，在过去的几天里，它变得更加痛苦。,"Yes, my hips are really painful. However, in the past few days, it has become more painful.",clinically nonsignificant/no harm,Yes,0.108765833
108,110,"Yeah, I'm putting more weight on my left leg.",是的，我在左腿上增加了更多的重量。,"Yes, I added more weight to my left leg.",clinically nonsignificant/no harm,No,0.094106711
109,111,I have not experienced something like this before.,我以前从未经历过这样的事情。,I have never experienced such a thing before.,clinically nonsignificant/no harm,Yes,0.148799822
110,112,"Yeah, I used to smoke a probably up until when I was like 65 or something. So, probably for 40 years of my life.",是的，我曾经抽烟，直到我65岁或其他东西。所以，可能是我40年的生命。,"Yes, I used to smoke until I was 65 years old or other things. Therefore, it may be my 40 -year life.",clinically nonsignificant/no harm,Yes,0.074878782
111,113,Maybe a little bit of muscle weakness in my legs.,也许我的腿有点肌肉无力。,Maybe my legs have a little muscle weakness.,clinically nonsignificant/no harm,Yes,0.100411139
112,114,I can do most things myself. My wife does most of our shopping and cooking though.,我可以自己做大多数事情。我的妻子大部分购物和做饭。,I can do most things myself. Most of my wife shopping and cooking.,clinically nonsignificant/no harm,Yes,0.130951628
113,115,I've been using cannabis oil for the past month just to see if it helps with the pain.,在过去的一个月中，我一直在使用大麻油，只是为了看看它是否有助于疼痛。,"In the past month, I have been using anesthesia, just to see if it helps pain.",clinically nonsignificant/no harm,Yes,0.107342035
114,116,Two or three glasses of wine a day.,每天两三杯葡萄酒。,Two or three glasses of wine a day.,clinically nonsignificant/no harm,Yes,0.114713833
115,117,No other than that she's been healthy.,除了她保持健康之外，别无其他。,There is no other except she keeps healthy.,clinically significant/life-threatening,No,0.123575315
116,118,"It's been over a week. Maybe not quite two weeks, but around then, maybe like 9 days.",已经一周了。也许不是两个星期，但是大约是9天。,"It's been a week. Maybe it's not two weeks, but about 9 days.",clinically nonsignificant/no harm,Yes,0.111184441
